EC100	EC160	IT101	IT161	MA101	PH100	PH160	HS101	QP
BC	CC	BB	BC	CC	BC	AA	BB	y
CC	BC	BB	BB	CC	BC	AB	BB	y
AB	BB	AB	AB	BB	CC	BC	AB	y
BC	CC	BB	BB	BB	BB	BC	BB	y
BC	AB	CD	BC	BC	BC	BC	CD	y
DD	CC	DD	CD	CD	CC	BC	BC	n
BC	BB	CD	CC	CC	BC	BB	AB	y
BB	CC	CC	CC	BB	BB	BB	BC	y
AA	AB	AA	AA	AA	AA	BB	AB	y
BB	BB	BC	CC	AB	AA	AB	AA	y
BC	BC	BC	BC	BC	BC	BB	BC	y
CC	AB	BC	BC	CC	CC	AB	BB	y
BC	BC	CC	BC	CC	CC	BB	AB	y
BC	BC	BB	AB	BB	AB	BB	AA	y
AB	BC	BB	BB	AB	AA	AB	AA	y
BC	CC	CD	CC	BB	AA	BB	AA	y
CC	BC	CC	BC	BC	AB	BC	AB	y
CC	DD	BC	BC	BC	CD	BC	BB	y
BB	CC	BB	AB	BB	BB	BB	AB	y
CD	CC	CC	BC	BC	BC	BC	AA	y
AA	AA	AA	AA	AB	AA	BB	AA	y
CC	CC	BC	DD	CC	BB	AB	BB	y
CC	CC	BB	BB	BB	BC	BB	AA	y
CD	BC	AB	AA	CD	CD	BC	AA	y
BB	BB	AB	CC	AB	AB	BC	BB	y
BB	CC	AA	BC	BC	AB	BC	AB	y
AB	BB	BC	BB	AB	AA	BB	AB	y
CC	BC	BC	BC	BC	AB	BB	AB	y
CD	BB	CD	BB	DD	CC	BC	AB	y
DD	CD	CD	DD	DD	CD	CC	DD	n
BB	BC	CC	BC	BC	BB	CC	CD	y
CC	CC	BC	BC	BC	BC	BC	AB	y
BC	BB	AB	AA	BB	CC	CC	BC	y
CC	CC	AB	AB	BC	BB	CC	AA	y
BC	CC	AB	AB	BB	AA	AB	AA	y
BC	BC	CD	CD	BC	BB	BC	BC	y
BC	AB	AB	AA	BC	BB	BB	AA	y
BB	BC	CD	CC	BB	CC	CC	DD	y
F	CD	DD	CD	DD	DD	CD	DD	n
BC	CC	CC	BC	CC	CC	BC	AB	y
BC	BC	CC	CC	BC	BC	BC	CC	y
F	CD	DD	CD	DD	DD	DD	DD	n
F	DD	DD	DD	F	DD	CD	DD	n
CC	BB	BB	BB	CC	CD	BC	AA	y
BB	BC	BC	AA	BC	CC	BC	AB	y
F	CD	F	CD	F	F	CD	DD	n
CD	BC	CC	BB	BC	CC	BC	BB	y
